Year,White Alone,Black Alone,Asian Alone,In Combination or Other Races 
2002,67.9,24.9,3.4,3.8
2003,67.7,24.5,3.9,3.9
2004,68.4,24.3,3.2,4.1
2005,67.3,24.8,3.8,4.1
2006,67.0,24.8,3.7,4.5
2007,67.4,24.8,3.6,4.2
2008,67.8,23.5,4.0,4.7
2009,68.5,22.8,4.0,4.7
2010,67.1,23.2,4.1,5.6
2011,66.7,23.6,4.3,5.4
2012,66.3,23.5,4.1,6.1
2013,66.1,24.4,3.9,5.6
