states	number	percentage
CA	6073	0.163
TX	4633	0.184
NY	3062	0.160
FL	3006	0.160
GA	1814	0.188
IL	1798	0.141
OH	1746	0.154
NC	1633	0.174
PA	1535	0.122
MI	1530	0.157
AZ	1208	0.188
TN	1052	0.167
IN	1041	0.163
NJ	966	0.111
LA	949	0.215
MO	890	0.150
VA	835	0.107
AL	812	0.172
WA	779	0.116
SC	773	0.169
KY	754	0.177
MA	711	0.109
MS	658	0.225
MD	628	0.109
CO	615	0.123
OK	603	0.163
WI	567	0.101
MN	563	0.108
OR	537	0.143
NV	446	0.166
AR	440	0.153
KS	400	0.145
NM	372	0.183
IA	307	0.103
WV	306	0.168
CT	303	0.086
UT	278	0.100
ID	213	0.138
NE	184	0.102
ME	164	0.126
HI	162	0.124
RI	146	0.140
MT	142	0.145
DC	118	0.195
DE	109	0.122
SD	109	0.136
AK	87	0.125
NH	84	0.065
ND	82	0.126
VT	67	0.108
WY	53	0.096
