Year,white,black,asian,other,hispanic
2002,66.1,24.4,3.9,5.6,28.1
2003,66.3,23.5,4.1,6.1,29.3
2004,66.7,23.6,4.3,5.4,28.6
2005,67.1,23.2,4.1,5.6,29.2
2006,68.5,22.8,4,4.7,28.3
2007,67.8,23.5,4,4.7,27.6
2008,67.4,24.8,3.6,4.2,26.5
2009,67,24.8,3.7,4.5,25.4
2010,67.3,24.8,3.8,4.1,25.4
2011,68.4,24.3,3.2,4.1,24.6
2012,67.7,24.5,3.9,3.9,25.2
2013,67.9,24.9,3.4,3.8,24.7
